Type_of_Customer,Entering_Time,Number_1,Number_2,Number_3,Server1,Server2,Server3,Average_processing,Total_number,Waiting_Time
3,2.6,0,0,1,0,0,3,2.8,1,0.0
3,16.7,1,0,1,3,1,0,3.95,2,0.0
3,18.9,1,0,2,3,1,3,2.9666666669999997,3,0.0
3,34.3,0,2,1,2,2,3,3.95,3,0.0
3,49.2,1,1,0,2,1,0,3.7,2,3.4
3,52.3,2,1,0,1,1,2,3.583333333,3,3.0
3,60.0,1,0,1,1,3,0,3.742857143,2,0.0
3,62.9,1,0,2,1,3,3,4.375,3,0.0
3,64.9,1,0,2,1,3,3,5.6333333329999995,3,0.0
3,68.6,1,0,2,1,3,3,5.51,3,3.1
3,70.7,1,0,2,1,3,3,5.7090909089999995,3,5.4
3,80.8,0,0,2,0,3,3,5.416666667,2,0.0
3,82.9,0,0,3,3,3,3,5.376923077000001,3,0.0
3,83.1,0,0,3,3,3,3,5.1071428569999995,3,0.0
3,84.0,0,0,3,3,3,3,4.913333333,3,0.0
3,101.1,0,0,1,3,0,0,4.80625,1,0.0
3,108.1,0,0,1,3,0,0,4.988235294,1,0.0
3,115.0,0,0,2,3,0,3,4.772222222,2,0.0
3,117.6,1,0,1,1,0,3,4.852631579,2,0.0
3,121.1,0,1,2,3,2,3,4.675,3,0.0
3,122.7,0,1,1,0,2,3,4.7809523810000005,2,26.4
3,129.7,3,0,0,1,1,1,4.786363636,3,25.3
3,140.7,2,1,0,1,2,1,5.043478261000001,3,321.9
3,157.8,0,1,2,2,3,3,4.945833333,3,0.0
3,159.6,0,0,2,0,3,3,5.06,2,47.3
3,170.6,3,0,0,1,1,1,5.376923077000001,3,323.9
3,177.2,3,0,0,1,1,1,5.259259258999999,3,27.7
3,181.3,3,0,0,1,1,1,5.257142857,3,40.0
3,191.6,3,0,0,1,1,1,5.165517241,3,24.9
3,194.7,3,0,0,1,1,1,5.153333333,3,30.6
3,199.7,1,2,0,2,2,1,5.077419355,3,26.8
3,212.8,1,1,1,3,2,1,5.428125,3,295.0
